time,val_1,val_2
778,20.70,20.75

779,20.70,20.73

780,20.70,20.74

781,20.70,20.74

782,20.70,20.74

783,20.70,20.77

784,20.70,20.77

785,20.70,20.76

786,20.70,20.77

787,20.70,20.75

788,20.70,20.75

789,20.70,20.75

790,20.70,20.76

791,20.70,20.76

792,20.70,20.74

793,20.70,20.71

794,20.70,20.72

795,20.70,20.74

796,20.70,20.72

797,20.70,20.74

798,20.70,20.75

799,20.70,20.73

800,20.70,20.72

801,20.70,20.71

802,20.70,20.75

803,20.70,20.76

804,20.70,20.74

805,20.70,20.72

806,20.70,20.72

807,20.70,20.70

808,20.70,20.68

809,20.70,20.68

810,20.70,20.67

811,20.70,20.69

812,20.70,20.66

813,20.70,20.66

814,20.70,20.69

815,20.70,20.70

816,20.70,20.71

817,20.70,20.73

818,20.70,20.75

819,20.70,20.74

820,20.70,20.75

821,20.70,20.75

822,20.70,20.74

823,20.70,20.74

824,20.70,20.74

825,20.70,20.78

826,20.70,20.79

827,20.70,20.79

828,20.70,20.78

829,20.70,20.80

830,20.70,20.79

831,20.70,20.78

832,20.70,20.81

833,20.70,20.83

834,20.70,20.82

835,20.70,20.77

836,20.70,20.74

837,20.70,20.75

838,20.70,20.76

839,20.70,20.76

840,20.70,20.77

841,20.70,20.79

842,20.70,20.78

843,20.70,20.77

844,20.70,20.77

845,20.70,20.76

846,20.70,20.78

847,20.70,20.79

848,20.70,20.79

849,20.70,20.79

850,20.70,20.78

851,20.70,20.74

852,20.70,20.74

853,20.70,20.75

854,20.70,20.76

855,20.70,20.78

856,20.70,20.78

857,20.70,20.79

858,20.70,20.76

859,20.70,20.76

860,20.70,20.77

861,20.70,20.80

862,20.70,20.81

863,20.70,20.82

864,20.70,20.81

865,20.70,20.80

866,20.70,20.79

867,20.70,20.77

868,20.70,20.81

869,20.70,20.82

870,20.70,20.84

871,20.70,20.85

872,20.70,20.84

873,20.70,20.83

874,20.70,20.84

875,20.70,20.86

876,20.70,20.87

877,20.70,20.87

878,20.70,20.85

879,20.70,20.86

880,20.70,20.83

881,20.70,20.83

882,20.70,20.81

883,20.70,20.81

884,20.70,20.79

885,20.70,20.75

886,20.70,20.73

887,20.70,20.72

888,20.70,20.71

889,20.70,20.68

890,20.70,20.71

891,20.70,20.70

892,20.70,20.71

893,20.70,20.70

894,20.70,20.70

895,20.70,20.73

896,20.70,20.76

897,20.70,20.76

898,20.70,20.76

899,20.70,20.78

900,20.70,20.77

901,20.70,20.79

902,20.70,20.80

903,20.70,20.80

904,20.70,20.79

905,20.70,20.79

906,20.70,20.77

907,20.70,20.78

908,20.70,20.78

909,20.70,20.78

910,20.70,20.78

911,20.70,20.77

912,20.70,20.75

913,20.70,20.75

914,20.70,20.76

915,20.70,20.77

916,20.70,20.78

917,20.70,20.79

918,20.70,20.81

919,20.70,20.79

920,20.70,20.79

921,20.70,20.78

922,20.70,20.79

923,20.70,20.81

924,20.70,20.81

925,20.70,20.80

926,20.70,20.81

927,20.70,20.79

928,20.70,20.78

929,20.70,20.81

930,20.70,20.81

931,20.70,20.82

932,20.70,20.83

933,20.70,20.81

934,20.70,20.79

935,20.70,20.78

936,20.70,20.79

937,20.70,20.79

938,20.70,20.79

939,20.70,20.75

940,20.70,20.77

941,20.70,20.78

942,20.70,20.78

943,20.70,20.80

944,20.70,20.81

945,20.70,20.82

946,20.70,20.80

947,20.70,20.80

948,20.70,20.81

949,20.70,20.82

950,20.70,20.81

951,20.70,20.79

952,20.70,20.76

953,20.70,20.74

954,20.70,20.76

955,20.70,20.76

956,20.70,20.78

957,20.70,20.80

958,20.80,20.81

959,20.80,20.82

960,20.80,20.81

961,20.80,20.80

962,20.80,20.83

963,20.80,20.84

964,20.80,20.84

965,20.80,20.83

966,20.80,20.83

967,20.80,20.80

968,20.80,20.79

969,20.80,20.78

970,20.80,20.80

971,20.80,20.81

972,20.80,20.81

973,20.80,20.79

